[2017-09-09 01:52:00,471|seq_script.py:60 - config] Loading configuration file: 'config.cfg'
[2017-09-09 01:52:15,061|utils.py:161 - get_all_properties]    ENABLE = Off
[2017-09-09 01:52:15,061|utils.py:153 - get_all_properties] SIMULATION
[2017-09-09 01:52:15,061|utils.py:161 - get_all_properties]    DISABLE = On
[2017-09-09 01:52:15,062|utils.py:161 - get_all_properties]    ENABLE = Off
[2017-09-09 01:52:15,062|utils.py:153 - get_all_properties] CONFIG_PROCESS
[2017-09-09 01:52:15,062|utils.py:161 - get_all_properties]    CONFIG_SAVE = Off
[2017-09-09 01:52:15,062|utils.py:161 - get_all_properties]    CONFIG_LOAD = Off
[2017-09-09 01:52:15,062|utils.py:161 - get_all_properties]    CONFIG_DEFAULT = Off
[2017-09-09 01:52:15,062|utils.py:153 - get_all_properties] CONNECTION_MODE
[2017-09-09 01:52:15,062|utils.py:161 - get_all_properties]    CONNECTION_SERIAL = On
[2017-09-09 01:52:15,062|utils.py:161 - get_all_properties]    CONNECTION_TCP = Off
[2017-09-09 01:52:15,063|utils.py:153 - get_all_properties] DEVICE_PORT
[2017-09-09 01:52:15,063|utils.py:161 - get_all_properties]    PORT = /dev/ttyUSB2
[2017-09-09 01:52:15,063|utils.py:153 - get_all_properties] DEVICE_BAUD_RATE
[2017-09-09 01:52:15,063|utils.py:161 - get_all_properties]    9600 = On
[2017-09-09 01:52:15,063|utils.py:161 - get_all_properties]    115200 = Off
[2017-09-09 01:52:15,063|utils.py:161 - get_all_properties]    230400 = Off
[2017-09-09 01:52:15,063|utils.py:161 - get_all_properties]    19200 = Off
[2017-09-09 01:52:15,063|utils.py:161 - get_all_properties]    38400 = Off
[2017-09-09 01:52:15,063|utils.py:161 - get_all_properties]    57600 = Off
[2017-09-09 01:52:15,064|utils.py:153 - get_all_properties] DEVICE_AUTO_SEARCH
[2017-09-09 01:52:15,064|utils.py:161 - get_all_properties]    DISABLED = Off
[2017-09-09 01:52:15,064|utils.py:161 - get_all_properties]    ENABLED = On
[2017-09-09 01:52:15,064|utils.py:153 - get_all_properties] DEVICE_PORT_SCAN
[2017-09-09 01:52:15,064|utils.py:161 - get_all_properties]    Scan Ports = Off
[2017-09-09 01:52:15,064|utils.py:153 - get_all_properties] SYSTEM_PORTS
[2017-09-09 01:52:15,064|utils.py:161 - get_all_properties]    /dev/ttyUSB2 = Off
[2017-09-09 01:52:15,064|utils.py:161 - get_all_properties]    /dev/ttyUSB3 = Off
[2017-09-09 01:52:15,064|utils.py:161 - get_all_properties]    /dev/ttyUSB0 = Off
[2017-09-09 01:52:15,065|utils.py:161 - get_all_properties]    /dev/ttyUSB1 = Off
[2017-09-09 01:52:15,065|utils.py:153 - get_all_properties] ACTIVE_DEVICES
[2017-09-09 01:52:15,065|utils.py:161 - get_all_properties]    ACTIVE_GPS = GPS Simulator
[2017-09-09 01:52:15,065|utils.py:161 - get_all_properties]    ACTIVE_DOME = Dome Simulator
[2017-09-09 01:52:15,065|utils.py:153 - get_all_properties] DOME_POLICY
[2017-09-09 01:52:15,065|utils.py:161 - get_all_properties]    FORCE_CLOSE = Off
[2017-09-09 01:52:15,065|utils.py:161 - get_all_properties]    LOCK_PARKING = Off
[2017-09-09 01:52:15,065|utils.py:161 - get_all_properties]    LOCK_AND_FORCE = Off
[2017-09-09 01:52:15,066|utils.py:161 - get_all_properties]    NO_ACTION = On
[2017-09-09 01:52:15,066|utils.py:153 - get_all_properties] TELESCOPE_INFO
[2017-09-09 01:52:15,066|utils.py:161 - get_all_properties]    GUIDER_FOCAL_LENGTH = 2640
[2017-09-09 01:52:15,066|utils.py:161 - get_all_properties]    GUIDER_APERTURE = 320
[2017-09-09 01:52:15,066|utils.py:161 - get_all_properties]    TELESCOPE_FOCAL_LENGTH = 2640
[2017-09-09 01:52:15,066|utils.py:161 - get_all_properties]    TELESCOPE_APERTURE = 320
[2017-09-09 01:52:15,066|utils.py:153 - get_all_properties] SCOPE_CONFIG_NAME
[2017-09-09 01:52:15,066|utils.py:161 - get_all_properties]    SCOPE_CONFIG_NAME = CDK12.5
[2017-09-09 01:52:15,066|utils.py:153 - get_all_properties] STARTUP_MODE
[2017-09-09 01:52:15,067|utils.py:161 - get_all_properties]    WARM_START = On
[2017-09-09 01:52:15,067|utils.py:161 - get_all_properties]    COLD_START = Off
[2017-09-09 01:52:15,067|utils.py:161 - get_all_properties]    WARM_RESTART = Off
[2017-09-09 01:52:15,067|utils.py:153 - get_all_properties] ON_COORD_SET
[2017-09-09 01:52:15,067|utils.py:161 - get_all_properties]    TRACK = On
[2017-09-09 01:52:15,067|utils.py:161 - get_all_properties]    SLEW = Off
[2017-09-09 01:52:15,067|utils.py:161 - get_all_properties]    SYNC = Off
[2017-09-09 01:52:15,067|utils.py:153 - get_all_properties] EQUATORIAL_EOD_COORD
[2017-09-09 01:52:15,067|utils.py:161 - get_all_properties]    DEC = 90
[2017-09-09 01:52:15,068|utils.py:161 - get_all_properties]    RA = 6.5022222222222225696
[2017-09-09 01:52:15,068|utils.py:153 - get_all_properties] TELESCOPE_ABORT_MOTION
[2017-09-09 01:52:15,068|utils.py:161 - get_all_properties]    ABORT = Off
[2017-09-09 01:52:15,068|utils.py:153 - get_all_properties] TELESCOPE_TRACK_MODE
[2017-09-09 01:52:15,068|utils.py:161 - get_all_properties]    TRACK_SOLAR = Off
[2017-09-09 01:52:15,068|utils.py:161 - get_all_properties]    TRACK_LUNAR = Off
[2017-09-09 01:52:15,068|utils.py:161 - get_all_properties]    TRACK_SIDEREAL = On
[2017-09-09 01:52:15,068|utils.py:161 - get_all_properties]    TRACK_CUSTOM = Off
[2017-09-09 01:52:15,069|utils.py:153 - get_all_properties] TELESCOPE_MOTION_NS
[2017-09-09 01:52:15,069|utils.py:161 - get_all_properties]    MOTION_SOUTH = Off
[2017-09-09 01:52:15,069|utils.py:161 - get_all_properties]    MOTION_NORTH = Off
[2017-09-09 01:52:15,069|utils.py:153 - get_all_properties] TELESCOPE_MOTION_WE
[2017-09-09 01:52:15,069|utils.py:161 - get_all_properties]    MOTION_WEST = Off
[2017-09-09 01:52:15,069|utils.py:161 - get_all_properties]    MOTION_EAST = Off
[2017-09-09 01:52:15,069|utils.py:153 - get_all_properties] TELESCOPE_SLEW_RATE
[2017-09-09 01:52:15,069|utils.py:161 - get_all_properties]    SLEW_FIND = On
[2017-09-09 01:52:15,069|utils.py:161 - get_all_properties]    SLEW_MAX = Off
[2017-09-09 01:52:15,069|utils.py:161 - get_all_properties]    SLEW_GUIDE = Off
[2017-09-09 01:52:15,070|utils.py:161 - get_all_properties]    SLEW_CENTERING = Off
[2017-09-09 01:52:15,070|utils.py:153 - get_all_properties] TARGET_EOD_COORD
[2017-09-09 01:52:15,070|utils.py:161 - get_all_properties]    DEC = 0
[2017-09-09 01:52:15,070|utils.py:161 - get_all_properties]    RA = 0
[2017-09-09 01:52:15,070|utils.py:153 - get_all_properties] TIME_UTC
[2017-09-09 01:52:15,070|utils.py:161 - get_all_properties]    UTC = 
[2017-09-09 01:52:15,070|utils.py:161 - get_all_properties]    OFFSET = 00
[2017-09-09 01:52:15,070|utils.py:153 - get_all_properties] GEOGRAPHIC_COORD
[2017-09-09 01:52:15,070|utils.py:161 - get_all_properties]    LAT = 42.183333333333330017
[2017-09-09 01:52:15,070|utils.py:161 - get_all_properties]    ELEV = 0
[2017-09-09 01:52:15,070|utils.py:161 - get_all_properties]    LONG = 0.73333333333333328152
[2017-09-09 01:52:15,070|utils.py:153 - get_all_properties] TELESCOPE_PARK
[2017-09-09 01:52:15,070|utils.py:161 - get_all_properties]    UNPARK = Off
[2017-09-09 01:52:15,070|utils.py:161 - get_all_properties]    PARK = Off
[2017-09-09 01:52:15,071|utils.py:153 - get_all_properties] TELESCOPE_PIER_SIDE
[2017-09-09 01:52:15,071|utils.py:161 - get_all_properties]    PIER_WEST = On
[2017-09-09 01:52:15,071|utils.py:161 - get_all_properties]    PIER_EAST = Off
[2017-09-09 01:52:15,071|utils.py:153 - get_all_properties] APPLY_SCOPE_CONFIG
[2017-09-09 01:52:15,071|utils.py:161 - get_all_properties]    SCOPE_CONFIG6 = Off
[2017-09-09 01:52:15,071|utils.py:161 - get_all_properties]    SCOPE_CONFIG4 = Off
[2017-09-09 01:52:15,071|utils.py:161 - get_all_properties]    SCOPE_CONFIG5 = Off
[2017-09-09 01:52:15,071|utils.py:161 - get_all_properties]    SCOPE_CONFIG2 = Off
[2017-09-09 01:52:15,071|utils.py:161 - get_all_properties]    SCOPE_CONFIG3 = Off
[2017-09-09 01:52:15,071|utils.py:161 - get_all_properties]    SCOPE_CONFIG1 = On
[2017-09-09 01:52:15,071|utils.py:153 - get_all_properties] USEJOYSTICK
[2017-09-09 01:52:15,071|utils.py:161 - get_all_properties]    DISABLE = On
[2017-09-09 01:52:15,071|utils.py:161 - get_all_properties]    ENABLE = Off
[2017-09-09 01:52:15,072|utils.py:153 - get_all_properties] Sites
[2017-09-09 01:52:15,072|utils.py:161 - get_all_properties]    Site 4 = Off
[2017-09-09 01:52:15,072|utils.py:161 - get_all_properties]    Site 3 = Off
[2017-09-09 01:52:15,072|utils.py:161 - get_all_properties]    Site 2 = Off
[2017-09-09 01:52:15,072|utils.py:161 - get_all_properties]    Site 1 = On
[2017-09-09 01:52:15,072|utils.py:153 - get_all_properties] Site Name
[2017-09-09 01:52:15,072|utils.py:161 - get_all_properties]    Name = Ager
[2017-09-09 01:52:15,072|utils.py:153 - get_all_properties] TELESCOPE_TIMED_GUIDE_NS
[2017-09-09 01:52:15,072|utils.py:161 - get_all_properties]    TIMED_GUIDE_S = 0
[2017-09-09 01:52:15,072|utils.py:161 - get_all_properties]    TIMED_GUIDE_N = 0
[2017-09-09 01:52:15,072|utils.py:153 - get_all_properties] TELESCOPE_TIMED_GUIDE_WE
[2017-09-09 01:52:15,072|utils.py:161 - get_all_properties]    TIMED_GUIDE_E = 0
[2017-09-09 01:52:15,072|utils.py:161 - get_all_properties]    TIMED_GUIDE_W = 0
[2017-09-09 01:52:15,073|utils.py:153 - get_all_properties] FOCUS_MOTION
[2017-09-09 01:52:15,073|utils.py:161 - get_all_properties]    OUT = Off
[2017-09-09 01:52:15,073|utils.py:161 - get_all_properties]    IN = Off
[2017-09-09 01:52:15,073|utils.py:153 - get_all_properties] FOCUS_TIMER
[2017-09-09 01:52:15,073|utils.py:161 - get_all_properties]    TIMER = 0
[2017-09-09 01:52:15,073|utils.py:153 - get_all_properties] FOCUS_MODE
[2017-09-09 01:52:15,073|utils.py:161 - get_all_properties]    FOCUS_SLOW = Off
[2017-09-09 01:52:15,073|utils.py:161 - get_all_properties]    FOCUS_HALT = On
[2017-09-09 01:52:15,073|utils.py:161 - get_all_properties]    FOCUS_FAST = Off
[2017-09-09 01:52:15,073|utils.py:153 - get_all_properties] PARK_SETTINGS
[2017-09-09 01:52:15,073|utils.py:161 - get_all_properties]    HOME = On
[2017-09-09 01:52:15,073|utils.py:161 - get_all_properties]    STARTUP = Off
[2017-09-09 01:52:15,073|utils.py:161 - get_all_properties]    ZENITH = Off
[2017-09-09 01:52:15,074|utils.py:153 - get_all_properties] ACTIVE_DEVICES
[2017-09-09 01:52:15,074|utils.py:161 - get_all_properties]    ACTIVE_GPS = GPS Simulator
[2017-09-09 01:52:15,074|utils.py:161 - get_all_properties]    ACTIVE_DOME = Dome Simulator
[2017-09-09 01:52:15,074|utils.py:153 - get_all_properties] DOME_POLICY
[2017-09-09 01:52:15,074|utils.py:161 - get_all_properties]    FORCE_CLOSE = Off
[2017-09-09 01:52:15,074|utils.py:161 - get_all_properties]    LOCK_PARKING = Off
[2017-09-09 01:52:15,074|utils.py:161 - get_all_properties]    LOCK_AND_FORCE = Off
[2017-09-09 01:52:15,074|utils.py:161 - get_all_properties]    NO_ACTION = On
[2017-09-09 01:52:15,074|utils.py:153 - get_all_properties] TELESCOPE_INFO
[2017-09-09 01:52:15,074|utils.py:161 - get_all_properties]    GUIDER_FOCAL_LENGTH = 2640
[2017-09-09 01:52:15,074|utils.py:161 - get_all_properties]    GUIDER_APERTURE = 320
[2017-09-09 01:52:15,074|utils.py:161 - get_all_properties]    TELESCOPE_FOCAL_LENGTH = 2640
[2017-09-09 01:52:15,074|utils.py:161 - get_all_properties]    TELESCOPE_APERTURE = 320
[2017-09-09 01:52:15,075|utils.py:153 - get_all_properties] SCOPE_CONFIG_NAME
[2017-09-09 01:52:15,075|utils.py:161 - get_all_properties]    SCOPE_CONFIG_NAME = CDK12.5
[2017-09-09 01:52:15,075|utils.py:153 - get_all_properties] ON_COORD_SET
[2017-09-09 01:52:15,075|utils.py:161 - get_all_properties]    TRACK = On
[2017-09-09 01:52:15,075|utils.py:161 - get_all_properties]    SLEW = Off
[2017-09-09 01:52:15,075|utils.py:161 - get_all_properties]    SYNC = Off
[2017-09-09 01:52:15,075|utils.py:153 - get_all_properties] EQUATORIAL_EOD_COORD
[2017-09-09 01:52:15,075|utils.py:161 - get_all_properties]    DEC = 90
[2017-09-09 01:52:15,075|utils.py:161 - get_all_properties]    RA = 6.5022222222222225696
[2017-09-09 01:52:15,075|utils.py:153 - get_all_properties] TELESCOPE_ABORT_MOTION
[2017-09-09 01:52:15,075|utils.py:161 - get_all_properties]    ABORT = Off
[2017-09-09 01:52:15,075|utils.py:153 - get_all_properties] TELESCOPE_TRACK_MODE
[2017-09-09 01:52:15,075|utils.py:161 - get_all_properties]    TRACK_SOLAR = Off
[2017-09-09 01:52:15,076|utils.py:161 - get_all_properties]    TRACK_LUNAR = Off
[2017-09-09 01:52:15,076|utils.py:161 - get_all_properties]    TRACK_SIDEREAL = On
[2017-09-09 01:52:15,076|utils.py:161 - get_all_properties]    TRACK_CUSTOM = Off
[2017-09-09 01:52:15,076|utils.py:153 - get_all_properties] TIME_UTC
[2017-09-09 01:52:15,076|utils.py:161 - get_all_properties]    UTC = 
[2017-09-09 01:52:15,076|utils.py:161 - get_all_properties]    OFFSET = 00
[2017-09-09 01:52:15,076|utils.py:153 - get_all_properties] GEOGRAPHIC_COORD
[2017-09-09 01:52:15,076|utils.py:161 - get_all_properties]    LAT = 42.183333333333330017
[2017-09-09 01:52:15,076|utils.py:161 - get_all_properties]    ELEV = 0
[2017-09-09 01:52:15,076|utils.py:161 - get_all_properties]    LONG = 0.73333333333333328152
[2017-09-09 01:52:15,076|utils.py:153 - get_all_properties] TELESCOPE_PARK
[2017-09-09 01:52:15,076|utils.py:161 - get_all_properties]    UNPARK = Off
[2017-09-09 01:52:15,076|utils.py:161 - get_all_properties]    PARK = Off
[2017-09-09 01:52:15,077|utils.py:153 - get_all_properties] TELESCOPE_MOTION_NS
[2017-09-09 01:52:15,077|utils.py:161 - get_all_properties]    MOTION_SOUTH = Off
[2017-09-09 01:52:15,077|utils.py:161 - get_all_properties]    MOTION_NORTH = Off
[2017-09-09 01:52:15,077|utils.py:153 - get_all_properties] TELESCOPE_MOTION_WE
[2017-09-09 01:52:15,077|utils.py:161 - get_all_properties]    MOTION_WEST = Off
[2017-09-09 01:52:15,077|utils.py:161 - get_all_properties]    MOTION_EAST = Off
[2017-09-09 01:52:15,077|utils.py:153 - get_all_properties] TELESCOPE_SLEW_RATE
[2017-09-09 01:52:15,077|utils.py:161 - get_all_properties]    SLEW_FIND = On
[2017-09-09 01:52:15,077|utils.py:161 - get_all_properties]    SLEW_MAX = Off
[2017-09-09 01:52:15,077|utils.py:161 - get_all_properties]    SLEW_GUIDE = Off
[2017-09-09 01:52:15,077|utils.py:161 - get_all_properties]    SLEW_CENTERING = Off
[2017-09-09 01:52:15,077|utils.py:153 - get_all_properties] TARGET_EOD_COORD
[2017-09-09 01:52:15,077|utils.py:161 - get_all_properties]    DEC = 0
[2017-09-09 01:52:15,078|utils.py:161 - get_all_properties]    RA = 0
[2017-09-09 01:52:15,078|utils.py:153 - get_all_properties] TELESCOPE_PIER_SIDE
[2017-09-09 01:52:15,078|utils.py:161 - get_all_properties]    PIER_WEST = On
[2017-09-09 01:52:15,078|utils.py:161 - get_all_properties]    PIER_EAST = Off
[2017-09-09 01:52:15,078|utils.py:153 - get_all_properties] APPLY_SCOPE_CONFIG
[2017-09-09 01:52:15,078|utils.py:161 - get_all_properties]    SCOPE_CONFIG6 = Off
[2017-09-09 01:52:15,078|utils.py:161 - get_all_properties]    SCOPE_CONFIG4 = Off
[2017-09-09 01:52:15,078|utils.py:161 - get_all_properties]    SCOPE_CONFIG5 = Off
[2017-09-09 01:52:15,078|utils.py:161 - get_all_properties]    SCOPE_CONFIG2 = Off
[2017-09-09 01:52:15,078|utils.py:161 - get_all_properties]    SCOPE_CONFIG3 = Off
[2017-09-09 01:52:15,078|utils.py:161 - get_all_properties]    SCOPE_CONFIG1 = On
[2017-09-09 01:52:15,078|utils.py:153 - get_all_properties] USEJOYSTICK
[2017-09-09 01:52:15,078|utils.py:161 - get_all_properties]    DISABLE = On
[2017-09-09 01:52:15,079|utils.py:161 - get_all_properties]    ENABLE = Off
[2017-09-09 01:52:15,079|utils.py:153 - get_all_properties] Sites
[2017-09-09 01:52:15,079|utils.py:161 - get_all_properties]    Site 4 = Off
[2017-09-09 01:52:15,079|utils.py:161 - get_all_properties]    Site 3 = Off
[2017-09-09 01:52:15,079|utils.py:161 - get_all_properties]    Site 2 = Off
[2017-09-09 01:52:15,079|utils.py:161 - get_all_properties]    Site 1 = On
[2017-09-09 01:52:15,079|utils.py:153 - get_all_properties] Site Name
[2017-09-09 01:52:15,079|utils.py:161 - get_all_properties]    Name = Ager
[2017-09-09 01:52:15,079|utils.py:153 - get_all_properties] TELESCOPE_TIMED_GUIDE_NS
[2017-09-09 01:52:15,079|utils.py:161 - get_all_properties]    TIMED_GUIDE_S = 0
[2017-09-09 01:52:15,079|utils.py:161 - get_all_properties]    TIMED_GUIDE_N = 0
[2017-09-09 01:52:15,079|utils.py:153 - get_all_properties] TELESCOPE_TIMED_GUIDE_WE
[2017-09-09 01:52:15,079|utils.py:161 - get_all_properties]    TIMED_GUIDE_E = 0
[2017-09-09 01:52:15,080|utils.py:161 - get_all_properties]    TIMED_GUIDE_W = 0
[2017-09-09 01:52:15,080|utils.py:153 - get_all_properties] FOCUS_MOTION
[2017-09-09 01:52:15,080|utils.py:161 - get_all_properties]    OUT = Off
[2017-09-09 01:52:15,080|utils.py:161 - get_all_properties]    IN = Off
